eta,Re,rho,omega,T
1.900644238775e-05,48.98435217,1.000000000000e-04,16.8580456294,0.3727113715
1.900642664342e-05,48.98435221,2.000000000000e-04,16.8580456324,0.3727113714
1.900639124029e-05,48.98435230,3.500000000000e-04,16.8580456403,0.3727113712
1.900630021633e-05,48.98435252,5.750000000000e-04,16.8580456605,0.3727113708
1.900607836199e-05,48.98435305,9.124999999999e-04,16.8580457091,0.3727113697
1.900555361420e-05,48.98435431,1.418750000000e-03,16.8580458237,0.3727113672
1.900395491473e-05,48.98435814,2.178124999998e-03,16.8580461116,0.3727113608
1.900067296076e-05,48.98436602,3.317187499994e-03,16.8580467489,0.3727113467
1.899319899285e-05,48.98438395,5.025781249978e-03,16.8580482001,0.3727113147
1.897624825444e-05,48.98442462,7.588671874924e-03,16.8580514915,0.3727112419
1.893790786493e-05,48.98451662,1.143300781224e-02,16.8580589360,0.3727110773
1.885134135576e-05,48.98472434,1.719951171787e-02,16.8580757447,0.3727107057
1.865612190299e-05,48.98519277,2.584926757513e-02,16.8581136505,0.3727098676
1.833267902712e-05,48.98596890,3.584926757003e-02,16.8581764535,0.3727084791
1.790444090336e-05,48.98699653,4.584926756100e-02,16.8582596044,0.3727066408
1.737145010367e-05,48.98827560,5.584926754694e-02,16.8583630949,0.3727043528
1.673375959584e-05,48.98980601,6.584926752674e-02,16.8584869146,0.3727016155
1.599143269632e-05,48.99158766,7.584926749932e-02,16.8586310510,0.3726984290
1.514454303280e-05,48.99362043,8.584926746360e-02,16.8587954896,0.3726947937
1.419317450270e-05,48.99590417,9.584926741848e-02,16.8589802140,0.3726907101
1.313742122489e-05,48.99843875,1.058492673629e-01,16.8591852055,0.3726861785
1.197738748501e-05,49.00122397,1.158492672957e-01,16.8594104438,0.3726811995
1.071318767704e-05,49.00425965,1.258492672160e-01,16.8596559063,0.3726757736
9.344946237402e-06,49.00754559,1.358492671225e-01,16.8599215686,0.3726699013
7.872797574850e-06,49.01108156,1.458492670143e-01,16.8602074042,0.3726635833
6.296885994614e-06,49.01486733,1.558492668902e-01,16.8605133848,0.3726568203
4.617365617201e-06,49.01890264,1.658492667493e-01,16.8608394801,0.3726496130
2.834400292212e-06,49.02318722,1.758492665905e-01,16.8611856580,0.3726419621
9.481635067832e-07,49.02772078,1.858492664127e-01,16.8615518843,0.3726338685
-1.041161706261e-06,49.03250302,1.958492662150e-01,16.8619381232,0.3726253329
-3.133382879597e-06,49.03753362,2.058492659963e-01,16.8623443368,0.3726163564
-5.328298202719e-06,49.04281226,2.158492657555e-01,16.8627704856,0.3726069398
-7.625696640830e-06,49.04833858,2.258492654917e-01,16.8632165282,0.3725970841
-1.002535804550e-05,49.05411222,2.358492652040e-01,16.8636824214,0.3725867904
-1.252705327318e-05,49.06013280,2.458492648912e-01,16.8641681204,0.3725760596
-1.513054430578e-05,49.06639994,2.558492645524e-01,16.8646735785,0.3725648930
-1.783558437656e-05,49.07291322,2.658492641867e-01,16.8651987473,0.3725532916
-2.064191809786e-05,49.07967222,2.758492637930e-01,16.8657435769,0.3725412567
-2.354928159528e-05,49.08667652,2.858492633705e-01,16.8663080157,0.3725287894
-2.655740263997e-05,49.09392566,2.958492629182e-01,16.8668920104,0.3725158911
-2.966600078840e-05,49.10141919,3.058492624351e-01,16.8674955062,0.3725025630
-3.287478752276e-05,49.10915663,3.158492619205e-01,16.8681184466,0.3724888064
-3.618346639322e-05,49.11713750,3.258492613732e-01,16.8687607739,0.3724746228
-3.959173316491e-05,49.12536130,3.358492607925e-01,16.8694224285,0.3724600136
-4.309927596353e-05,49.13382752,3.458492601775e-01,16.8701033497,0.3724449801
-4.670577542621e-05,49.14253563,3.558492595273e-01,16.8708034752,0.3724295240
-5.041090485173e-05,49.15148510,3.658492588410e-01,16.8715227412,0.3724136466
-5.421433035313e-05,49.16067540,3.758492581178e-01,16.8722610828,0.3723973495
-5.811571101108e-05,49.17010595,3.858492573569e-01,16.8730184336,0.3723806343
-6.211469902903e-05,49.17977621,3.958492565574e-01,16.8737947258,0.3723635027
-6.621093988751e-05,49.18968558,4.058492557186e-01,16.8745898905,0.3723459561
-7.040407250155e-05,49.19983348,4.158492548396e-01,16.8754038576,0.3723279964
-7.469372937566e-05,49.21021932,4.258492539196e-01,16.8762365556,0.3723096252
-7.907953676085e-05,49.22084248,4.358492529580e-01,16.8770879120,0.3722908442
-8.356111481045e-05,49.23170236,4.458492519539e-01,16.8779578531,0.3722716552
-8.813807773688e-05,49.24279832,4.558492509066e-01,16.8788463042,0.3722520600
-9.281003396645e-05,49.25412973,4.658492498153e-01,16.8797531893,0.3722320603
-9.757658629397e-05,49.26569596,4.758492486794e-01,16.8806784315,0.3722116580
-1.024373320377e-04,49.27749634,4.858492474982e-01,16.8816219530,0.3721908549
-1.073918631906e-04,49.28953023,4.958492462709e-01,16.8825836748,0.3721696530
-1.124397665726e-04,49.30179695,5.058492449970e-01,16.8835635172,0.3721480540
-1.175806239804e-04,49.31429583,5.158492436757e-01,16.8845613994,0.3721260599
-1.228140123353e-04,49.32702619,5.258492423063e-01,16.8855772397,0.3721036727
-1.281395038287e-04,49.33998735,5.358492408884e-01,16.8866109558,0.3720808944
-1.335566660685e-04,49.35317860,5.458492394212e-01,16.8876624643,0.3720577268
-1.390650622182e-04,49.36659925,5.558492379042e-01,16.8887316812,0.3720341720
-1.446642511381e-04,49.38024858,5.658492363368e-01,16.8898185217,0.3720102320
-1.503537875207e-04,49.39412590,5.758492347183e-01,16.8909229002,0.3719859089
-1.561332220264e-04,49.40823047,5.858492330483e-01,16.8920447304,0.3719612047
-1.620021014122e-04,49.42256158,5.958492313263e-01,16.8931839254,0.3719361214
-1.679599686618e-04,49.43711849,6.058492295515e-01,16.8943403977,0.3719106612
-1.740063631089e-04,49.45190047,6.158492277237e-01,16.8955140591,0.3718848261
-1.801408205584e-04,49.46690678,6.258492258422e-01,16.8967048208,0.3718586182
-1.863628734047e-04,49.48213667,6.358492239066e-01,16.8979125935,0.3718320398
-1.926720507455e-04,49.49758940,6.458492219164e-01,16.8991372872,0.3718050928
-1.990678784916e-04,49.51326422,6.558492198712e-01,16.9003788116,0.3717777795
-2.055498794735e-04,49.52916036,6.658492177705e-01,16.9016370758,0.3717501020
-2.121175735436e-04,49.54527706,6.758492156138e-01,16.9029119885,0.3717220625
-2.187704776741e-04,49.56161355,6.858492134009e-01,16.9042034577,0.3716936632
-2.255081060512e-04,49.57816908,6.958492111312e-01,16.9055113913,0.3716649063
-2.323299701639e-04,49.59494286,7.058492088044e-01,16.9068356966,0.3716357939
-2.392355788902e-04,49.61193412,7.158492064201e-01,16.9081762807,0.3716063284
-2.462244385763e-04,49.62914207,7.258492039779e-01,16.9095330500,0.3715765118
-2.532960531142e-04,49.64656594,7.358492014776e-01,16.9109059110,0.3715463465
-2.604499240116e-04,49.66420493,7.458491989188e-01,16.9122947694,0.3715158347
-2.676855504592e-04,49.68205826,7.558491963012e-01,16.9136995310,0.3714849785
-2.750024293932e-04,49.70012513,7.658491936245e-01,16.9151201010,0.3714537804
-2.824000555512e-04,49.71840475,7.758491908883e-01,16.9165563846,0.3714222425
-2.898779215257e-04,49.73689631,7.858491880924e-01,16.9180082864,0.3713903670
-2.974355178109e-04,49.75559901,7.958491852367e-01,16.9194757110,0.3713581564
-3.050723328457e-04,49.77451204,8.058491823207e-01,16.9209585627,0.3713256128
-3.127878530507e-04,49.79363460,8.158491793443e-01,16.9224567455,0.3712927385
-3.205815628619e-04,49.81296588,8.258491763073e-01,16.9239701634,0.3712595358
